,SST Bayspar (°C) Low Mid LOESS,SST Bayspar (°C) High LOESS,SST Bayspar (°C) Gradient
23.0,28.40262856936902,16.506923463847713,11.895705105521309
23.200000000000003,28.337780137614,15.829370898941711,12.50840923867229
23.400000000000002,28.38603551912061,16.763819924048644,11.622215595071967
23.6,28.194055307708425,16.776758909355543,11.417296398352882
23.8,28.472743852174837,16.61994658551935,11.852797266655486
24.0,28.41402040401293,16.767774174201882,11.646246229811048
24.200000000000003,28.65816913117902,16.41087803768559,12.24729109349343
24.400000000000002,28.969593878943776,17.027726546994685,11.94186733194909
24.6,29.30915301385564,17.755411441260176,11.553741572595463
24.8,29.31393202591377,18.053706616686107,11.260225409227662
25.0,29.564682475947585,17.186843150599746,12.37783932534784
25.200000000000003,29.662727511678725,17.895672102912982,11.767055408765742
25.400000000000002,29.424087036247347,17.744653363190185,11.679433673057162
25.6,29.295333708069066,18.239239345076317,11.056094362992749
25.8,29.236716228180498,18.374918695463318,10.86179753271718
26.0,29.09800078758449,18.531284841200847,10.566715946383642
26.200000000000003,28.802839377671724,18.543057795127947,10.259781582543777
26.400000000000002,28.853299447840453,18.225358960963494,10.627940486876959
26.6,28.779120603296086,18.459409473800683,10.319711129495403
26.8,28.836870794356756,18.71104976106298,10.125821033293775
27.0,28.658757160586987,19.23286549339574,9.425891667191248
27.200000000000003,28.53400044629891,18.934168392944823,9.599832053354088
27.400000000000002,28.4395751789737,19.184111432967907,9.255463746005795
27.6,28.60763016766044,19.144457729377258,9.46317243828318
27.8,28.598262528890892,19.233941910099965,9.364320618790927
28.0,28.746117587776,19.323426090822675,9.422691496953323
28.200000000000003,28.56283751592904,19.412910271545382,9.149927244383658
28.400000000000002,28.555064270314233,19.178428099374415,9.376636170939818
28.6,28.83183406662753,19.315874262636463,9.515959803991066
28.8,28.880572412336818,19.318866843640773,9.561705568696045
29.0,29.151580756481597,19.007478574985985,10.144102181495612
29.200000000000003,29.49166891420367,19.46448870691857,10.027180207285102
29.400000000000002,29.217317937778247,19.559259649501332,9.658058288276916
29.6,29.17381652344521,19.596650165022893,9.577166358422318
29.8,29.18495642466903,18.978285203642308,10.20667122102672
30.0,29.159933043164905,19.273550908933508,9.886382134231397
30.200000000000003,28.93172358823893,19.568816614224705,9.362906974014226
30.400000000000002,28.695775320928387,20.28431900571111,8.411456315217276
30.6,28.69233999260817,20.103958460981023,8.588381531627146
30.8,28.536856549103586,18.943883519460936,9.59297302964265
31.0,28.405780293534306,22.76621103551141,
31.200000000000003,27.985342042877207,26.588538551561882,
31.400000000000002,28.28537487280171,18.500852430282894,
31.6,28.115239368889945,17.963617385250938,
31.8,28.000896889843233,16.18834034234775,11.812556547495483
32.0,27.899898934821362,17.09299581403447,10.806903120786892
32.2,27.993465781467748,15.382399789581253,12.611065991886495
32.4,28.024419392927193,15.200768051016501,12.823651341910692
32.6,27.96479827802736,15.019136312451737,12.945661965575622
32.800000000000004,27.96859921741887,14.474106683726925,13.494492533691945
33.0,27.86315756443404,13.987485833993112,13.875671730440928
33.2,28.334848460377952,15.47866874051619,12.856179719861762
33.4,28.66768580409995,16.343411300155978,12.324274503943972
33.6,28.522897445463045,19.093651114995073,9.429246330467972
33.800000000000004,27.348552626356835,19.547338490249526,7.801214136107308
34.0,27.270927047562562,19.52085586458843,7.750071182974132
34.2,27.58810578772662,20.534985195114395,7.053120592612224
34.4,27.64862864101537,20.524957690014794,7.123670951000577
34.6,28.020542934984377,20.989158086006952,7.031384848977424
34.800000000000004,28.77862995588385,21.546271383962047,7.232358571921804
35.0,28.824516034088468,22.273618904439687,6.5508971296487815
35.2,29.013729520669866,22.284661278614855,6.7290682420550105
35.4,29.424061725955198,22.4999926810718,6.9240690448833995
35.6,28.981106494258512,22.771341291340068,6.209765202918444
35.800000000000004,29.08789906623597,22.672878916866345,6.415020149369624
36.0,29.384317670155532,21.943425837302456,7.440891832853076
36.2,29.42086346430615,21.011962221894205,8.408901242411947
36.4,29.50978912670277,20.823225400311237,8.686563726391533
36.6,29.490382966755057,21.232839360870987,8.25754360588407
36.800000000000004,29.21460355968056,21.79647439265451,7.418129167026052
37.0,29.46845512524542,21.53556139597782,7.932893729267601
37.2,29.44731182586795,20.87586532577222,8.571446500095728
37.4,30.112796027981233,20.470966337811436,9.641829690169796
