,average d15N,average d15N.1,Gradient
26.4,9.417812500000014,12.533419178082193,3.1156066780821785
26.7,8.229999999999993,12.360487671232876,4.130487671232883
27.0,8.493299999999998,12.187556164383562,3.694256164383564
27.3,8.214299999999998,12.014624657534245,3.8003246575342473
27.599999999999998,7.935300000000001,11.841693150684932,3.9063931506849316
27.9,7.6563,11.668761643835618,4.012461643835618
28.2,7.377299999999999,11.495830136986301,4.118530136986302
28.5,7.098299999999998,11.322898630136986,4.224598630136988
28.799999999999997,6.819300000000001,11.149967123287674,4.330667123287673
29.099999999999998,7.732361111111105,10.977035616438357,3.244674505327252
29.4,8.686527777777771,10.804104109589042,2.1175763318112715
29.7,7.543846153846173,10.631172602739728,3.0873264488935543
30.0,7.260858971041629,10.458241095890411,3.197382124848782
30.299999999999997,8.305188999065853,10.285309589041098,1.980120589975245
30.599999999999998,6.998468623697178,10.112378082191782,3.1139094584946037
30.9,7.086327992584042,9.939446575342467,2.853118582758425
31.2,7.324382382889365,9.766515068493153,2.442132685603788
31.5,8.227911638252476,9.593583561643836,1.3656719233913606
31.799999999999997,7.889857806510845,9.420652054794523,1.5307942482836783
32.1,6.93603582346975,9.247720547945205,2.3116847244754553
32.4,7.568137209011603,9.074789041095892,1.5066518320842892
32.699999999999996,7.681618223067707,8.901857534246577,1.2202393111788705
33.0,6.4808695652173745,8.72892602739726,2.2480564621798864
33.3,7.9763448792015685,8.555994520547948,0.5796496413463794
33.6,7.249465576150034,8.38306301369863,1.1335974375485955
33.9,6.73165173231492,8.210131506849317,1.4784797745343967
34.199999999999996,5.776660692925977,8.037200000000002,2.2605393070740254
34.5,5.071935700905503,7.864268493150686,2.7923327922451824
34.8,4.1750488268645825,7.691336986301373,3.5162881594367903
35.1,4.84021082712113,7.5184054794520545,2.678194652330925
35.4,4.07665656425642,7.345473972602742,3.2688174083463215
35.699999999999996,3.90907611214675,7.172542465753428,3.263466353606678
36.0,4.127751484319171,6.9996109589041104,2.871859474584939
36.3,4.248542852970602,6.8266794520547975,2.5781365990841953
36.6,3.7958183417751536,6.653747945205479,2.8579296034303256
36.9,4.942383162975548,6.480816438356166,1.5384332753806182
37.199999999999996,4.362720349520968,6.3078849315068535,1.9451645819858854
37.5,4.138316516176806,6.134953424657535,1.9966369084807294
37.8,4.34346335735505,5.962021917808222,1.618558560453172
38.1,4.284151195440504,5.789090410958904,1.5049392155183998
38.4,4.162666835736541,5.616158904109591,1.4534920683730501
38.699999999999996,4.422572387634165,5.443227397260278,1.0206550096261129
39.0,4.163455598844033,5.27029589041096,1.106840291566927
39.3,3.817023335012424,5.097364383561647,1.2803410485492233
39.6,3.4044212309719035,4.924432876712329,1.5200116457404254
39.9,4.56692170867048,4.751501369863016,0.18457966119253566
40.199999999999996,2.3309534511020016,4.578569863013703,2.2476164119117015
40.5,3.39252069439988,4.405638356164385,1.0131176617645048
40.8,3.521163994126516,4.047142857142892,0.525978863016376
41.1,3.798461538461523,2.8314285714285714,-0.9670329670329516
41.4,4.043399014778317,2.835,-1.2083990147783172
41.699999999999996,4.153880325130487,2.8385714285714285,-1.3153088965590585
42.0,2.747538539919786,2.8024347826086955,0.05489624268890969
42.3,2.789486580111676,2.7398260869565223,-0.04966049315515386
42.6,2.273718387828952,2.6772173913043473,0.40349900347539513
42.9,2.8087047999999974,2.614608695652174,-0.19409610434782332
43.199999999999996,2.9651154766906718,2.570185185185186,-0.394930291505486
43.5,3.158623882456484,2.531296296296296,-0.6273275861601877
43.8,3.255610081377849,2.4924074074074074,-0.7632026739704414
44.1,3.0966365688487603,2.462459016393443,-0.6341775524553173
44.4,2.5999999999999943,2.4772131147540986,-0.12278688524589576
44.699999999999996,4.605776281050556,2.4704651162790707,-2.135311164771485
45.0,3.6235529029341196,2.323953488372094,-1.2995994145620258
45.3,3.942142857142841,2.5949999999999918,-1.3471428571428494
45.6,4.184217477576103,2.835,-1.3492174775761034
45.9,3.76,2.712272727272728,-1.047727272727272
46.199999999999996,4.118620689655167,2.566493506493509,-1.5521271831616579
46.5,4.4772413793103425,2.305454545454545,-2.1717868338557973
46.8,4.805554455555533,2.044415584415588,-2.761138871139945
47.1,4.861099011110871,2.2193103448275866,-2.641788666283284
47.4,4.916643566666208,2.684827586206894,-2.231815980459314
47.699999999999996,4.962664565517246,2.808115942028986,-2.15454862348826
48.0,4.787673772941935,2.7602898550724633,-2.027383917869472
48.3,4.755688177548202,2.522222222222223,-2.233465955325979
48.6,4.568094175499494,2.063907284768213,-2.5041868907312814
48.9,4.253444108276645,2.1473509933774833,-2.106093114899162
49.199999999999996,4.012797806354701,2.230794701986754,-1.7820031043679472
49.5,3.817579517779106,2.3142384105960265,-1.5033411071830796
49.8,4.189426485907367,2.397682119205297,-1.79174436670207
50.1,4.561273454035637,2.534999999999999,-2.0262734540356386
50.4,4.933120422163898,3.0224999999999937,-1.9106204221639045
50.699999999999996,4.933522194585839,3.5099999999999887,-1.4235221945858503
51.0,4.9049812601583636,3.997499999999995,-0.9074812601583684
51.3,5.174925150326325,4.218837209302322,-0.9560879410240029
51.6,5.909177278991163,4.74777777777778,-1.161399501213383
51.9,7.212632966826364,4.775,-2.4376329668263637
52.199999999999996,8.516088654661566,4.8972602739725914,-3.6188283806889743
52.5,9.124247965016073,5.990410958904107,-3.133837006111966
52.8,9.502489776725575,7.083561643835598,-2.4189281328899774
53.1,9.76970752096136,6.862830188679247,-2.9068773322821126
53.4,9.886681806893996,6.713870967741931,-3.1728108391520653
53.699999999999996,10.003656092826633,7.033225806451607,-2.9704302863750263
54.0,10.120630378759273,7.39862745098039,-2.722002927778883
54.3,10.092819780733267,8.063333333333327,-2.0294864473999397
54.6,9.959277205261678,8.596712328767126,-1.3625648764945524
54.9,9.825734629790093,8.95835616438356,-0.8673784654065333
55.199999999999996,9.309390444351022,9.319999999999991,0.010609555648969149
55.5,9.9448538935701,10.832499999999996,0.8876461064298962
55.8,9.533006183059213,12.109230769230761,2.5762245861715485
56.1,10.86250352803511,13.015000000000002,2.152496471964893
56.4,11.431127605623757,13.764999999999997,2.3338723943762396
56.699999999999996,11.939538690829247,14.514999999999993,2.5754613091707466
57.0,12.01769056388234,14.84,2.82230943611766
57.3,11.60679608547124,14.84,3.23320391452876
57.599999999999994,11.525100241976194,14.78145161290323,3.2563513709270353
57.9,10.875014000725853,14.621774193548388,3.746760192822535
58.199999999999996,10.432419927355564,14.357000000000006,3.924580072644442
58.5,9.971263344909772,13.847000000000001,3.875736655090229
58.8,11.155192519369677,13.337000000000009,2.181807480630331
59.099999999999994,11.199180357025817,13.924507042253504,2.725326685227687
59.4,11.243168194681958,14.54985915492957,3.306690960247611
59.699999999999996,11.287156032338098,14.679268292682933,3.3921122603448346
